        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption [% TDP] , PerfCap Reason [] , VDDC [V] ,
2018-07-04 18:05:31 ,              135.0   ,                202.5   ,               33.0   ,              33   ,                1753   ,            361   ,         11   ,                       11   ,                   0   ,                    0   ,                     3.3   ,              16   , 0.9370   ,
2018-07-04 18:05:32 ,              836.1   ,               1350.0   ,               34.0   ,              33   ,                1743   ,            361   ,         23   ,                       14   ,                   0   ,                    0   ,                     8.9   ,              16   , 0.9370   ,
2018-07-04 18:05:33 ,              135.0   ,                202.5   ,               33.0   ,              33   ,                1770   ,            362   ,         15   ,                       13   ,                   0   ,                    0   ,                     3.4   ,              16   , 0.9370   ,
2018-07-04 18:05:34 ,             1032.3   ,               1350.0   ,               35.0   ,              33   ,                1739   ,            362   ,         31   ,                       22   ,                   0   ,                    1   ,                    14.6   ,              16   , 1.0000   ,
2018-07-04 18:05:35 ,             1032.3   ,               1350.0   ,               35.0   ,              33   ,                1740   ,            362   ,         30   ,                       22   ,                   0   ,                    1   ,                    14.6   ,              16   , 1.0000   ,
2018-07-04 18:05:36 ,             1032.3   ,               1350.0   ,               35.0   ,              33   ,                1737   ,            367   ,         37   ,                       30   ,                   0   ,                    0   ,                    16.2   ,              16   , 1.0000   ,
2018-07-04 18:05:37 ,             1032.3   ,               1350.0   ,               35.0   ,              33   ,                1763   ,            369   ,         37   ,                       30   ,                   0   ,                    0   ,                    15.5   ,              16   , 1.0000   ,
2018-07-04 18:05:38 ,             1032.3   ,               1350.0   ,               35.0   ,              33   ,                1761   ,            369   ,         37   ,                       30   ,                   0   ,                    0   ,                    14.6   ,              16   , 1.0000   ,
2018-07-04 18:05:39 ,             1032.3   ,               1350.0   ,               35.0   ,              33   ,                1760   ,            370   ,         37   ,                       29   ,                   0   ,                    0   ,                    16.2   ,              16   , 1.0000   ,
2018-07-04 18:05:40 ,             1032.3   ,               1350.0   ,               35.0   ,              33   ,                1759   ,            370   ,         37   ,                       30   ,                   0   ,                    0   ,                    16.0   ,              16   , 1.0000   ,
2018-07-04 18:05:41 ,             1032.3   ,               1350.0   ,               35.0   ,              33   ,                1734   ,            373   ,         30   ,                       24   ,                   0   ,                    0   ,                    15.7   ,              16   , 1.0000   ,
