        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption [% TDP] , PerfCap Reason [] , VDDC [V] ,
2018-07-05 13:56:06 ,              135.0   ,                202.5   ,               27.0   ,              33   ,                1764   ,            128   ,          0   ,                        4   ,                   0   ,                    0   ,                     2.2   ,              16   , 0.9430   ,
2018-07-05 13:56:07 ,              135.0   ,                202.5   ,               27.0   ,              33   ,                1795   ,            125   ,          0   ,                        4   ,                   0   ,                    0   ,                     2.2   ,              16   , 0.9430   ,
2018-07-05 13:56:08 ,              135.0   ,                202.5   ,               27.0   ,              33   ,                1762   ,            125   ,          0   ,                        4   ,                   0   ,                    0   ,                     2.2   ,              16   , 0.9430   ,
2018-07-05 13:56:09 ,              135.0   ,                202.5   ,               27.0   ,              33   ,                1760   ,            125   ,          0   ,                        4   ,                   0   ,                    0   ,                     2.2   ,              16   , 0.9430   ,
2018-07-05 13:56:10 ,              135.0   ,                202.5   ,               27.0   ,              33   ,                1785   ,            125   ,          0   ,                        4   ,                   0   ,                    0   ,                     2.2   ,              16   , 0.9430   ,
2018-07-05 13:56:11 ,              135.0   ,                202.5   ,               27.0   ,              33   ,                1753   ,            125   ,          0   ,                        4   ,                   0   ,                    0   ,                     2.1   ,              16   , 0.9430   ,
2018-07-05 13:56:12 ,              135.0   ,                202.5   ,               27.0   ,              33   ,                1784   ,            125   ,          0   ,                        5   ,                   0   ,                    0   ,                     2.2   ,              16   , 0.9430   ,
2018-07-05 13:56:13 ,              135.0   ,                202.5   ,               27.0   ,              33   ,                1759   ,            125   ,          0   ,                        5   ,                   0   ,                    0   ,                     2.2   ,              16   , 0.9430   ,
2018-07-05 13:56:14 ,             1032.7   ,               1350.0   ,               29.0   ,              33   ,                1783   ,            288   ,          0   ,                        1   ,                   0   ,                    0   ,                     4.4   ,              16   , 1.0060   ,
2018-07-05 13:56:15 ,             1032.7   ,               1350.0   ,               29.0   ,              33   ,                1757   ,            290   ,          0   ,                        1   ,                   0   ,                    0   ,                     4.5   ,              16   , 1.0060   ,
2018-07-05 13:56:16 ,             1032.7   ,               1350.0   ,               29.0   ,              33   ,                1787   ,            292   ,          0   ,                        1   ,                   0   ,                    0   ,                     4.8   ,              16   , 1.0060   ,
2018-07-05 13:56:17 ,              324.0   ,                202.5   ,               28.0   ,              33   ,                1761   ,            294   ,          1   ,                        5   ,                   0   ,                    0   ,                     2.3   ,              16   , 0.9430   ,
2018-07-05 13:56:18 ,              324.0   ,                202.5   ,               28.0   ,              33   ,                1757   ,            299   ,          1   ,                        5   ,                   0   ,                    0   ,                     2.3   ,              16   , 0.9430   ,
2018-07-05 13:56:19 ,              324.0   ,                202.5   ,               28.0   ,              33   ,                1758   ,            300   ,          1   ,                        5   ,                  17   ,                    0   ,                     3.1   ,              16   , 0.9430   ,
2018-07-05 13:56:24 ,              162.0   ,               1350.0   ,               29.0   ,              33   ,                1782   ,            302   ,          -   ,                        1   ,                  84   ,                    -   ,                     6.8   ,               8   , 1.1500   ,
2018-07-05 13:56:25 ,             1188.9   ,               1350.0   ,               30.0   ,              33   ,                1784   ,            306   ,          0   ,                        1   ,                  91   ,                    0   ,                     8.8   ,               8   , 1.1500   ,
2018-07-05 13:56:25 ,             1032.7   ,               1350.0   ,               30.0   ,              33   ,                1754   ,            307   ,          0   ,                        1   ,                  92   ,                    0   ,                     5.6   ,              16   , 1.0060   ,
2018-07-05 13:56:26 ,             1188.9   ,               1350.0   ,               30.0   ,              33   ,                1778   ,            310   ,          0   ,                        1   ,                  95   ,                    0   ,                     8.4   ,               8   , 1.1500   ,
2018-07-05 13:56:27 ,             1136.7   ,               1350.0   ,               30.0   ,              33   ,                1770   ,            373   ,          0   ,                        1   ,                  96   ,                    0   ,                     6.0   ,              16   , 1.0680   ,
